,tax_year,account,total_appraised_value,total_market_value,land_value
1196,2019,21750000003,299000.0,299000,88956
1200,2019,21750000013,815000.0,815000,675000
1203,2019,21750000018,296400.0,296400,84537
1204,2019,21750000019,299803.0,299803,88236
3748,2019,41320000003,732461.0,732461,385000
3749,2019,41320000004,2327711.0,2327711,1155000
3750,2019,41320000007,538474.0,538474,434875
3751,2019,41330000001,777365.0,777365,366100
3753,2019,41330000003,460737.0,465659,358750
3754,2019,41330000004,464489.0,464489,358750
3757,2019,41330000008,565126.0,574265,406000
3758,2019,41330000009,707587.0,707587,406000
3759,2019,41330000012,325725.0,325725,105840
3760,2019,41330000013,313393.0,313393,98560
3761,2019,41330000014,355000.0,355000,163360
3762,2019,41340000001,437509.0,437509,137600
3765,2019,41340000007,654721.0,654721,346480
3766,2019,41340000008,485266.0,485266,141120
3767,2019,41340000009,519153.0,519153,138880
3769,2019,41350000001,1230759.0,1230759,537600
3770,2019,41350000002,606707.0,606707,385000
3773,2019,41350000006,673309.0,673309,344988
3774,2019,41350000007,897336.0,897336,461650
3777,2019,41350000011,472000.0,472000,182400
3778,2019,41360000001,1061084.0,1061084,393400
3779,2019,41360000002,657473.0,663000,385000
3780,2019,41360000003,883398.0,925556,385000
3781,2019,41360000004,721897.0,721897,385000
3782,2019,41360000005,253476.0,253476,153600
3783,2019,41360000006,440088.0,440088,385000
3785,2019,41360000013,775000.0,775000,502600
3787,2019,41360000018,271169.0,283760,153600
3788,2019,41360000019,322816.0,322816,163200
3789,2019,41360010001,265243.0,265243,100000
3790,2019,41360010002,255200.0,321462,100000
3791,2019,41360010003,296458.0,296458,100000
3792,2019,41360010004,295519.0,295519,100000
3793,2019,41360010005,267943.0,267943,100000
3794,2019,41360010006,267781.0,267781,100000
3795,2019,41360010007,289000.0,289000,100000
3796,2019,41360010008,288200.0,351508,100000
3797,2019,41360010009,267781.0,267781,100000
3798,2019,41360010010,240000.0,240000,100000
3800,2019,41360070001,313000.0,313000,100000
3801,2019,41360070002,241090.0,241090,100000
3802,2019,41360070003,244278.0,245000,100000
3803,2019,41360070004,300057.0,300057,100000
3804,2019,41360070005,312070.0,312070,100000
3805,2019,41360070006,265276.0,265276,100000
3806,2019,41360070007,232000.0,232000,100000
3807,2019,41360070008,322496.0,322496,100000
3808,2019,41360070009,361645.0,361645,100000
3809,2019,41360070010,310000.0,310000,100000
3811,2019,41370000001,298543.0,298543,98800
3812,2019,41370000002,525000.0,525000,402500
3813,2019,41370000003,809408.0,834000,385000
3814,2019,41370000004,844895.0,844895,402500
3815,2019,41370000005,579786.0,579786,402500
3816,2019,41370000006,415549.0,415549,385000
3822,2019,41370000012,275000.0,300000,100000
3823,2019,41370000013,271800.0,271800,109200
3824,2019,41370000014,266950.0,266950,104000
3825,2019,41370000015,296950.0,296950,98800
3826,2019,41370000016,222167.0,222167,104000
3827,2019,41380000002,757047.0,757047,630000
3828,2019,41380000003,931500.0,931500,516250
3831,2019,41390000001,1258920.0,1342800,522563
3832,2019,41390000004,1186240.0,1256400,630000
3833,2019,41390000005,853249.0,853249,493500
3841,2019,41390000022,177200.0,177200,123875
3842,2019,41400000001,356687.0,356687,103040
3843,2019,41400000002,313385.0,313385,109280
3845,2019,41400000004,810000.0,810000,457100
3849,2019,41400000013,356687.0,356687,103040
3850,2019,41400000014,344314.0,344314,103040
3851,2019,41400000015,356687.0,356687,103040
3852,2019,41400000016,356687.0,356687,103040
3853,2019,41400000017,307145.0,307145,103040
3854,2019,41400000018,303855.0,303855,109280
3855,2019,41400000019,313385.0,313385,109280
3867,2019,41410000017,530532.0,530532,385000
3871,2019,41410000025,416882.0,426408,367500
3873,2019,41410000034,330500.0,330500,88530
3874,2019,41410000035,356743.0,356743,92625
3875,2019,41410000036,335978.0,335978,105525
3876,2019,41410000037,363957.0,363957,96938
3877,2019,41410000038,356647.0,356647,92625
3878,2019,41410000039,373271.0,373271,92625
5371,2019,50060000003,540986.0,673525,260000
5376,2019,50110000007,262487.0,262487,260000
5379,2019,50120000003,516656.0,647617,248924
5380,2019,50120000005,410686.0,493369,260000
5386,2019,50130000004,583000.0,778918,260000
5388,2019,50130000009,245100.0,245100,245000
5391,2019,50140000002,349072.0,349072,202800
5397,2019,50140000008,262020.0,262020,260000
5398,2019,50140000013,140433.0,140433,114920
5420,2019,50220000004,209871.0,266718,260000
5422,2019,50220000007,202420.0,202420,200000
5424,2019,50240000010,83954.0,202229,198900
5425,2019,50260000001,1000000.0,1000000,999900
5432,2019,50370000015,309229.0,309229,208000
5435,2019,50390000004,322102.0,495442,246792
5437,2019,50410000004,346500.0,360000,249236
5438,2019,50410000010,148166.0,367987,210000
5440,2019,50420000003,476000.0,476000,475000
5441,2019,50420000017,376000.0,376000,156990
5442,2019,50440000001,35918.0,86271,83200
5444,2019,50440000013,111111.0,209000,208000
5447,2019,50460000007,155442.0,155442,153621
5450,2019,50460000013,196566.0,240600,119600
5451,2019,50460000014,289030.0,289030,127244
10282,2019,82360000006,974034.0,1094605,702780
10368,2019,82600000012,569253.0,569253,371875
10371,2019,82600000018,393753.0,393753,153160
10372,2019,82600000019,766028.0,766028,394555
10374,2019,82610000001,837485.0,837485,344568
10376,2019,82610000003,1486000.0,1486000,717500
10377,2019,82610000006,1909663.0,1909663,916300
10378,2019,82610000013,271700.0,308632,286981
10411,2019,82670000001,396000.0,417800,153440
10414,2019,82670000014,485000.0,485000,158000
10415,2019,82670000015,471500.0,471500,132800
10416,2019,82670000016,455620.0,455620,154960
10417,2019,82680000001,518326.0,518326,448455
10418,2019,82680000002,776600.0,780000,448455
10419,2019,82680000003,1411000.0,1411000,503125
10421,2019,82680000007,730401.0,730401,393750
10423,2019,82680000010,346134.0,346134,125000
10425,2019,82680000014,866822.0,866822,448455
10426,2019,82680000015,329715.0,329715,125000
10427,2019,82680000016,377500.0,377500,125000
10428,2019,82680000017,385700.0,385700,125000
10429,2019,82680000018,329715.0,329715,125000
10431,2019,82690000002,753605.0,753605,448420
10434,2019,82690000007,337855.0,337855,125000
10435,2019,82690000016,322191.0,322191,125000
