,Incident,Date,Hour,NIBRS_Class,NIBRS_Description,Offense_Count,Premise,Block_Range,Street_Name,Street_Type,City,Zip_Code
0,20519,1/1/2019,0,13A,Aggravated Assault,1,"Residence, Home (Includes Apartment)",4034,OSBY,DR,HOUSTON,77025
1,20519,1/1/2019,0,23H,All other larceny,1,"Residence, Home (Includes Apartment)",4034,OSBY,DR,HOUSTON,77025
2,20519,1/1/2019,0,290,"Destruction, damage, vandalism",1,"Residence, Home (Includes Apartment)",4034,OSBY,DR,HOUSTON,77025
3,20519,1/1/2019,0,35A,"Drug, narcotic violations",1,"Residence, Home (Includes Apartment)",4034,OSBY,DR,HOUSTON,77025
4,34819,1/1/2019,0,290,"Destruction, damage, vandalism",1,"Residence, Home (Includes Apartment)",4065,SILVERWOOD,DR,HOUSTON,77025
5,34819,1/1/2019,0,13B,Simple assault,2,"Residence, Home (Includes Apartment)",4065,SILVERWOOD,DR,HOUSTON,77025
6,43019,1/1/2019,0,35A,"Drug, narcotic violations",1,"Highway, Road, Street, Alley",1160,GRAY,ST,HOUSTON,77002
7,43019,1/1/2019,0,35B,Drug equipment violations,1,"Highway, Road, Street, Alley",1160,GRAY,ST,HOUSTON,77002
8,44419,1/1/2019,0,13B,Simple assault,2,"Bar, Nightclub",2600,TRAVIS,ST,HOUSTON,77006
9,45919,1/1/2019,0,120,Robbery,1,"Highway, Road, Street, Alley",2200,SOUTHWEST,FWY,HOUSTON,77098
10,245519,1/1/2019,0,23F,Theft from motor vehicle,1,"Parking Lot, Garage",2712,SOUTHWEST,FWY,HOUSTON,77098
11,29450119,1/1/2019,0,26F,Identify theft,1,"Drug Store, Doctors Office, Hospital",1315,ST JOSEPH,PKWY,HOUSTON,77002
12,32315819,1/1/2019,0,13C,Intimidation,1,"Commercial, Office Building",3131,LOOP,,HOUSTON,77027
13,84619,1/1/2019,1,13A,Aggravated Assault,1,"Bar, Nightclub",617,FAIRVIEW,AVE,HOUSTON,77006
14,87119,1/1/2019,1,220,"Burglary, Breaking and Entering",1,"Department, Discount Store",8500,MAIN,ST,HOUSTON,77025
15,104719,1/1/2019,1,23H,All other larceny,1,"Bar, Nightclub",506,MAIN,ST,HOUSTON,77002
16,165619,1/1/2019,1,13B,Simple assault,1,"Highway, Road, Street, Alley",2301,MAIN,ST,HOUSTON,77098
17,3237319,1/1/2019,1,13B,Simple assault,1,"Bar, Nightclub",1720,MAIN,ST,HOUSTON,77002
18,5023419,1/1/2019,1,23D,Theft from building,1,Community Center,3201,LOUISIANA,ST,HOUSTON,77006
19,5482619,1/1/2019,1,11A,Forcible rape,1,"Residence, Home (Includes Apartment)",1700-1799,MAIN,ST,HOUSTON,77002
20,121119,1/1/2019,2,13B,Simple assault,1,"Hotel, Motel, ETC",2525,LOOP,,HOUSTON,77027
21,134719,1/1/2019,2,13B,Simple assault,1,"Highway, Road, Street, Alley",506,MAIN,ST,HOUSTON,77002
22,146619,1/1/2019,2,23D,Theft from building,1,"Bar, Nightclub",710,PACIFIC,,HOUSTON,77006
23,276719,1/1/2019,2,23H,All other larceny,1,"Highway, Road, Street, Alley",2206,AUSTIN,ST,HOUSTON,77002
24,3291319,1/1/2019,2,290,"Destruction, damage, vandalism",1,"Highway, Road, Street, Alley",2210,DALLAS,ST,HOUSTON,77019
25,152839819,1/1/2019,2,11D,Forcible fondling,1,"Residence, Home (Includes Apartment)",2500-2599,BOLSOVER,ST,HOUSTON,77005
26,172719,1/1/2019,3,13C,Intimidation,1,"Residence, Home (Includes Apartment)",2600,WESTRIDGE,ST,HOUSTON,77054
27,1594219,1/1/2019,3,23H,All other larceny,1,"Bar, Nightclub",2401,SAN JACINTO,ST,HOUSTON,77002
28,268419,1/1/2019,4,23H,All other larceny,1,"Residence, Home (Includes Apartment)",215,MARSHALL,ST,HOUSTON,77006
29,186219,1/1/2019,6,220,"Burglary, Breaking and Entering",1,Convenience Store,218,GRAY,ST,HOUSTON,77002
30,188519,1/1/2019,6,13B,Simple assault,1,"Parking Lot, Garage",8610,ALMEDA,RD,HOUSTON,77054
31,188519,1/1/2019,6,290,"Destruction, damage, vandalism",1,"Parking Lot, Garage",8610,ALMEDA,RD,HOUSTON,77054
32,562719,1/1/2019,7,23H,All other larceny,1,"Drug Store, Doctors Office, Hospital",6720,BERTNER,AVE,HOUSTON,77030
33,234119,1/1/2019,10,120,Robbery,1,Speciality Store,2030,GRAY,ST,HOUSTON,77019
34,238719,1/1/2019,11,120,Robbery,1,"Highway, Road, Street, Alley",510,RICHMOND,AVE,HOUSTON,77006
35,254819,1/1/2019,12,23F,Theft from motor vehicle,1,"Residence, Home (Includes Apartment)",2328,SOUTHGATE,BLVD,HOUSTON,77030
36,1485119,1/1/2019,12,23H,All other larceny,1,"Residence, Home (Includes Apartment)",1010,ROSINE,,HOUSTON,77019
37,12497519,1/1/2019,12,23H,All other larceny,1,Rental Storage Facility,4341,SOUTHWEST,FWY,HOUSTON,77027
38,20581919,1/1/2019,12,13C,Intimidation,1,"Other, Unknown",602,GIRARD,,HOUSTON,77002
39,142840019,1/1/2019,12,23H,All other larceny,1,"Residence, Home (Includes Apartment)",3311,ELMRIDGE,ST,HOUSTON,77025
40,278119,1/1/2019,13,250,"Counterfeiting, forgery",1,Speciality Store,3265,SOUTHWEST,FWY,HOUSTON,77027
41,308619,1/1/2019,15,13B,Simple assault,1,"Highway, Road, Street, Alley",277,GRAY,ST,HOUSTON,77019
42,327819,1/1/2019,16,23F,Theft from motor vehicle,1,"Highway, Road, Street, Alley",3700,ROSELAND,,HOUSTON,77006
43,537019,1/1/2019,18,240,Motor vehicle theft,1,"Parking Lot, Garage",2828,GREENBRIAR,DR,HOUSTON,77098
