school_id,name,address,city,zip_code,school_type,latitude,longitude,school_rating,district_id
101907107,ADAM ELEMENTARY,11303 HONEYGROVE LN,HOUSTON,77065,Elementary,29.926556,-95.603242,85,1
101905043,AGUIRRE JUNIOR HIGH ,15726 WALLISVILLE RD,HOUSTON,77049,Middle,29.809586,-95.156563,85,2
101911101,ALAMO ELEMENTARY,6100 N MAIN,BAYTOWN,77521,Elementary,29.79278,-94.963885,95,3
101903045,ALBRIGHT MIDDLE,6315 WINKLEMAN,HOUSTON,77083,Middle,29.709561,-95.654675,95,4
101912102,ALCOTT ELEMENTARY,5859 BELLFORT,HOUSTON,77033,Elementary,29.667765,-95.329295,85,5
101902001,ALDINE HIGH,11101 AIRLINE DR,HOUSTON,77037,High,29.916259,-95.405271,75,6
101902041,ALDINE MIDDLE,14908 ALDINE-WESTFIELD RD,HOUSTON,77032,Middle,29.933013,-95.356249,65,6
101903114,ALEXANDER ELEMENTARY,8500 BROOKWULF,HOUSTON,77099,Elementary,29.686972,-95.607954,75,4
101905041,ALICE JOHNSON JUNIOR HIGH ,15500 PROCTOR,CHANNELVIEW,77530,Middle,29.799846,-95.130063,85,2
101903012,ALIEF EARLY COLLEGE HIGH,2811 A HAYES RD,HOUSTON,77082,High,29.734785,-95.574743,95,4
101903041,ALIEF MIDDLE,4415 COOK RD,HOUSTON,77072,Middle,29.709148,-95.596117,75,4
101912104,ALMEDA ELEMENTARY,14249 BRIDGEPORT RD,HOUSTON,77047,Elementary,29.600797,-95.418693,75,5
101902101,ANDERSON ACADEMY ELEMENTARY,7401 WHEATLEY ST,HOUSTON,77088,Elementary,29.86874,-95.430431,55,6
101919109,ANDERSON ELEMENTARY,6218 LYNNGATE DR,SPRING,77373,Elementary,30.037179,-95.333651,75,7
101912105,ANDERSON ELEMENTARY,5727 LUDINGTON DR,HOUSTON,77035,Elementary,29.648059,-95.48785,65,5
101907146,ANDRE ELEMENTARY,8111 FRY RD,CYPRESS,77433,Elementary,29.896386,-95.717905,85,1
101919003,ANDY DEKANEY HIGH,22352 IMPERIAL VLY DR,HOUSTON,77073,High,30.019569,-95.417659,65,7
101907058,ANTHONY MIDDLE,10215 GREENHOUSE RD,CYRESS,77433,Middle,29.93433,-95.74763,85,1
101907051,ARAGON MIDDLE,16823 W RD,HOUSTON,77095,Middle,29.908183,-95.664491,95,1
101907041,ARNOLD MIDDLE,11111 TELGE RD,CYPRESS,77429,Middle,29.938468,-95.649484,95,1
101911113,ASHBEL SMITH ELEMENTARY,403 E JAMES,BAYTOWN,77520,Elementary,29.732967,-94.961288,75,3
101912273,ASHFORD ELEMENTARY,1815 SHANNON VLY DR,HOUSTON,77077,Elementary,29.747281,-95.598103,55,5
101912274,ASKEW ELEMENTARY,11200 WOOD LODGE DR,HOUSTON,77077,Elementary,29.752432,-95.577315,75,5
101913008,ATASCOCITA HIGH,13300 WILL CLAYTON PKWY,HUMBLE,77346,High,29.994499,-95.177499,85,8
101913044,ATASCOCITA MIDDLE,18810 W LAKE HOUSTON PKY,HUMBLE,77346,Middle,29.992319,-95.15998,75,8
101913126,ATASCOCITA SPRINGS ELEMENTARY,13515 VALLEY LODGE PKWY,HUMBLE,77346,Elementary,29.965116,-95.184267,95,8
101912106,ATHERTON ELEMENTARY,2011 SOLO ST,HOUSTON,77020,Elementary,29.779677,-95.322677,95,5
101917124,ATKINSON ELEMENTARY,9602 KINGSPOINT RD,HOUSTON,77075,Elementary,29.607283,-95.24048,85,9
101912041,ATTUCKS MIDDLE,4330 BELLFORT BLVD,HOUSTON,77051,Middle,29.667065,-95.363434,65,5
101907133,AULT ELEMENTARY,21010 MAPLE VILLAGE DR,CYPRESS,77429,Elementary,29.99808,-95.744473,85,1
101912001,AUSTIN HIGH,1700 DUMBLE,HOUSTON,77023,High,29.730907,-95.333202,75,5
101905042,B H HAMBLEN ELEMENTARY,1019 DELL DALE ST,CHANNELVIEW,77530,Elementary,29.793885,-95.142425,85,2
101917101,BAILEY ELEMENTARY,2707 LAFFERTY RD,PASADENA,77502,Elementary,29.671899,-95.196706,85,9
101919102,BAMMEL ELEMENTARY,17309 RED OAK DR,HOUSTON,77090,Elementary,30.020154,-95.445997,65,7
101919102,BAMMEL MIDDLE,17309 RED OAK DR,HOUSTON,77090,Middle,30.020154,-95.445997,65,7
101919046,BAMMEL MIDDLE,16711 ELLA BLVD,HOUSTON,77090,Middle,30.003274,-95.445218,55,7
101907101,BANE ELEMENTARY,5805 KAISER ST,HOUSTON,77040,Elementary,29.854126,-95.525989,65,1
101907125,BANG ELEMENTARY,8900 RIO GRANDE,HOUSTON,77064,Elementary,29.902319,-95.573301,85,1
101911125,BANUELOS ELEMENTARY,7770 EASTPOINT BLVD,BAYTOWN,77521,Elementary,29.816073,-94.989334,85,3
101906103,BARRETT ELEMENTARY,815 F M 1942,CROSBY,77532,Elementary,29.654684,-95.220423,75,10
101912107,BARRICK ELEMENTARY,12001 WINFREY LN,HOUSTON,77076,Elementary,29.874541,-95.371042,75,5
101912108,BASTIAN ELEMENTARY,5051 BELLFORT,HOUSTON,77033,Elementary,29.667019,-95.34946,85,5
101912467,BAYLOR COLLEGE OF MEDICINE ACADEMY MIDDLE,2610 ELGIN ST,HOUSTON,77004,Middle,29.732278,-95.362956,85,5
101912234,BAYLOR COLLEGE OF MEDICINE BIOTECH MIDDLE,2805 GARROW ST,HOUSTON,77003,Middle,29.753311,-95.344563,85,5
101916104,BAYSHORE ELEMENTARY,800 MCCABLE RD,LA PORTE,77571,Elementary,29.688447,-95.051319,75,11
101911041,BAYTOWN JUNIOR HIGH ,7707 BAYWAY DR,BAYTOWN,77520,Middle,29.776725,-95.036304,75,3
101913106,BEAR BRANCH ELEMENTARY,3500 GARDEN LK,KINGWOOD,77339,Elementary,30.057181,-95.203646,95,8
101914106,BEAR CREEK ELEMENTARY,4815 HICKORY DOWNS DR,HOUSTON,77084,Elementary,29.844642,-95.637063,75,12
101914050,BECKENDORFF JUNIOR HIGH ,8200 FRY RD,KATY,77494,Middle,29.72042,-95.791693,95,12
101912151,BELL ELEMENTARY,12323 SHAFTSBURY DR,HOUSTON,77031,Elementary,29.643376,-95.549625,85,5
