,neighborhood_code,neighborhood_group,neighborhood
0,0.02,1801.0,TEST CONDO NBHD
1,0.5,1089.0,VALUATION TEST NBHD
2,1.0,4026.0,"SETTLERS VILLAGE 1,1R/P  & 2"
3,1.01,4025.0,"SETTLERS VILLAGE SEC. 3, 3R/P, 5 ,& 5 R/P"
4,1.04,4160.0,VILLAGES ON GRANT
5,1.05,4025.0,"LAKEVILLE SEC 1,2,4,5,6,7"
6,1.06,4160.0,"GRANT MEADOWS SEC 1,3"
7,1.07,4160.0,"GRANT MEADOWS SEC 2,4 & TELGE RANCH SEC 1"
8,1.08,4160.0,GRANT MEADOWS SEC 5
9,10.0,0.0,ROLLING CREEK Commercial (DO NOT REMOVE)
10,10.01,4139.0,ROLLING CREEK 1/GRAND OAKS
11,10.02,4028.0,BERKSHIRE SEC 1
12,10.03,4028.0,"BERKSHIRE SEC 2,5,6,8"
13,10.04,4028.0,"BERKSHIRE SEC 3,4"
14,10.05,4013.0,WHEATSTONE VILLAGE CLOVERFIELD
15,10.06,4028.0,"BERKSHIRE SEC 7,10"
16,10.07,4028.0,BERKSHIRE SEC 9
17,10.08,4028.0,"BERKSHIRE PLACE SEC 1,2,3,4,5"
18,10.1,4139.0,GRAND OAKS THE PRESERVE
19,10.11,4139.0,GRAND OAKS SEC 3
20,10.12,4139.0,GRAND OAKS SEC 4
21,10.13,4139.0,"GRAND OAKS SEC 2,5"
22,10.14,4139.0,"GRAND OAKS SEC 6,10,11"
23,100.0,4056.0,WESTWAY SEC 1
24,100.01,4042.0,WESTBRANCH ESTATES
25,1000.0,9001.0,ALDINE ESTATES/OTHERS
26,1001.0,9001.0,ALASTA GLEN MOBILES/OTHERS
27,1002.0,9001.0,M/R
28,1003.0,9001.0,MR/PT ALDINE/MAGNOLIA GDNS
29,1004.0,9001.0,"MR/MCCRACKEN UR,PT MAGNOLIA GD"
30,1005.0,9001.0,MR/WL HILL S/D HAHL SITES
31,1006.0,9001.0,MR/HILLSIDE GDNS/PARKLAND ESTS
32,1006.01,9001.0,"PINE TRACE SEC 4,5,6"
33,1007.0,9001.0,MR/N OF FM 1960
34,101.0,4047.0,WESTWAY COURTYARD
35,1010.0,9012.0,LINCOLN GRN PL 1(02)2(03 SUB)
36,1011.0,9012.0,WESTPOINT ESTATES #1
37,1012.0,9001.0,PINE VALLEY MEADOWS SEC 1
38,1013.0,9037.0,VILLA NORTH
39,1014.0,9023.0,"GREEN OAK PARK SEC 1,2, 3, 4"
40,1016.0,9023.0,"GREENBRIAR NORTH SEC 13,14,15 ,16,17"
41,1016.01,9023.0,"GREENBRIAR NORTH SEC 18,19"
42,1018.0,9012.0,"PARKLAND PLACE SEC 1,2"
43,1018.01,9012.0,PARKLAND PLACE SEC 3
44,102.0,4024.0,"WESTBANK 1 R/P, 2,3,5"
45,1020.0,9023.0,"CYPRESSWOOD POINT SEC. 1-3,6-8"
46,1020.01,9023.0,"CYPRESSWOOD POINT 4,5"
47,1021.0,9012.0,"CYPRESS TERRACE SEC 1,3"
48,1022.0,9012.0,SYCAMORE BEND SEC 1
49,1022.01,9002.0,SYCAMORE BEND SEC 2
50,1023.0,9012.0,"MEADOWVIEW FARMS SEC 2, 3,5,7"
51,1023.01,9012.0,MEADOWVIEW FARMS SEC 4
52,1023.02,9012.0,MEADOWVIEW FARMS SEC 6
53,1023.03,9012.0,"MEADOWVIEW FARMS SEC 9,10"
54,1024.0,9012.0,"MAPLE RIDGE PLACE SEC 1,2,3,4"
55,1025.0,9012.0,REMINGTON CREEK RANCH SEC 1-4
56,1026.0,9012.0,"SADDLE RIDGE SEC 1, 2,3,4"
57,1026.01,9012.0,"SADDLE RIDGE SEC 5,6"
58,1028.0,9023.0,DEERBROOK ESTATES PT SEC 1
59,1028.01,9023.0,DEERBROOK ESTATES PT SEC 1 DPLX
60,1028.02,9023.0,"DEERBROOK ESTATES SEC 2,4,7"
61,1028.03,9023.0,DEERBROOK ESTATES SEC 3
62,1028.04,9023.0,"DEERBROOK ESTATES SEC 5,6"
63,1028.05,9023.0,DEERBROOK ESTATES SEC 8
64,1028.06,9023.0,DEERBROOK ESTATES SEC 10
65,1028.07,9023.0,"DEERBROOK ESTATES SEC 11,12"
